"Literacy rate, adult (% ages 15 and older)"
"37"," Qatar","","","","","","","","","96.3","","96.4","","96.7","","97.5","","97.7","","","","",""
"52"," Romania","","","","","","","","","","","98.6","","","","","","","","","","",""
"49"," Russian Federation","","","","","","","","","99.7","","","","","","","","","","","","",""
"158"," Rwanda","","","","","64.9","","","","65.9","","","","68.3","","","","","","","","",""
"104"," Samoa","","","","","","","","","","","99.0","","","","","","","","","","",""
"143"," Sao Tome and Principe","","","","","","","","","","","","","90.1","","","","","","","","",""
"39"," Saudi Arabia","","","","","79.4","","","","","","","","","","94.4","","","","","","",""
"164"," Senegal","","","","","","","","","","","52.1","","","","42.8","","","","","","",""
"67"," Serbia","","","","","","","","","","","98.0","","","","","","","","","","98.8",""
"62"," Seychelles","","","","","","","","","94.0","","","","","","","","","","","","",""
"184"," Sierra Leone","","","","","","","","","","","","","","","32.4","","","","","","",""
"9"," Singapore","89.1","","","","92.5","","","","95.9","","96.2","","96.4","","96.5","","96.7","","96.8","","97.0",""
"113"," South Africa","","","","","","","","","92.9","","93.1","","93.7","","","","94.1","","94.4","","",""
"26"," Spain","","","","","","","97.8","","97.7","","97.8","","97.9","","98.1","","98.1","","98.1","","98.3",""
"76"," Sri Lanka","","","","","","","","","91.2","","","","","","","","","","","","",""
"167"," Sudan","","","","","61.3","","","","","","","","","","","","","","","","",""
"100"," Suriname","","","","","","","","","94.7","","","","92.9","","","","","","","","",""
"127"," Tajikistan","","","","","99.5","","","","","","","","","","","","","","","","",""
"154"," Tanzania (United Republic of)","","","","","","","","","67.8","","","","78.1","","","","","","77.9","","",""
"83"," Thailand","","","","","92.6","","93.5","","96.4","","","","","","93.7","","","","92.9","","",""
"132"," Timor-Leste","","","","","","","","","58.3","","","","","","","","","","","","",""
"165"," Togo","","","","","53.2","","","","","","60.4","","","","","","","","63.7","","",""
"98"," Tonga","","","","","","","","","","","99.4","","","","","","","","","","",""
"69"," Trinidad and Tobago","96.9","","","","","","","","","","","","","","","","","","","","",""
"95"," Tunisia","","","","","","","","","79.1","","79.7","","80.2","","","","79.0","","","","",""
"64"," Turkey","79.2","","","","","","88.2","","92.7","","94.1","","94.9","","95.3","","95.4","","95.6","","",""
"108"," Turkmenistan","","","98.8","","","","","","","","","","","","","","","","","","",""
"162"," Uganda","","","","","","","","","73.2","","","","70.2","","","","","","","","",""
"88"," Ukraine","","","","","","","","","","","","","100.0","","","","","","","","",""
"34"," United Arab Emirates","","","","","","","90.0","","","","","","","","","","","","","","",""
"55"," Uruguay","","","","","","","","","98.1","","98.3","","98.4","","98.4","","98.4","","98.5","","",""
"105"," Uzbekistan","","","","","98.6","","","","","","","","","","100.0","","100.0","","100.0","","",""
"78"," Venezuela (Bolivarian Republic of)","89.8","","","","","","","","","","94.8","","","","","","","","96.6","","97.1",""
"116"," Viet Nam","","","","","90.2","","","","","","","","","","","","","","","","",""
"144"," Zambia","65.0","","","","","","","","83.0","","","","","","","","","","","","",""
"156"," Zimbabwe","","","","","","","","","","","83.6","","","","","","88.7","","","","",""
""
